id,flight_no,airline_code,airline_name,origin,destination,departure_scheduled,arrival_scheduled,status,delay_minutes,delay_reason,terminal,gate,aircraft_type,seats_total,seats_booked,fare_inr
1001,IX149,IX,Air India Express,BLR,PNQ,2025-11-05 07:45,2025-11-05 08:59,On Time,0,,T1,C7,B737 MAX,180,90,8199
1002,SG528,SG,SpiceJet,DEL,BOM,2025-11-05 07:20,2025-11-05 08:33,Cancelled,0,,T4,D11,A320,210,0,10066
1003,IX742,IX,Air India Express,BOM,HYD,2025-11-05 06:50,2025-11-05 09:21,On Time,0,,T2,A7,A320,180,178,5739
1004,UK529,UK,Vistara,VNS,BLR,2025-11-05 09:45,2025-11-05 11:05,On Time,0,,T3,D14,B737 MAX,150,134,8515
1005,AI695,AI,Air India,IXC,BLR,2025-11-05 11:30,2025-11-05 12:44,On Time,0,,T1,D11,B737 MAX,150,37,10455
1006,SG796,SG,SpiceJet,AMD,HYD,2025-11-05 22:35,2025-11-06 00:45,On Time,0,,T4,C20,A321,72,33,6396
1007,6E815,6E,IndiGo,HYD,JAI,2025-11-05 12:10,2025-11-05 14:16,Delayed,45,Crew,T4,D8,A321,72,60,7359
1008,AI624,AI,Air India,AMD,BOM,2025-11-05 18:15,2025-11-05 20:32,On Time,0,,T4,A20,B737-800,186,47,11004
1009,G8686,G8,Go First,IXC,BOM,2025-11-05 15:30,2025-11-05 17:49,On Time,0,,T4,D17,B737 MAX,210,158,11853
1010,AI376,AI,Air India,BOM,VNS,2025-11-05 20:10,2025-11-05 21:15,On Time,0,,T4,B20,A321,189,135,9740
1011,UK123,UK,Vistara,PAT,IXC,2025-11-05 19:30,2025-11-05 21:03,On Time,0,,T1,D19,B737-800,180,51,8547
1012,UK232,UK,Vistara,HYD,JAI,2025-11-05 12:35,2025-11-05 15:05,On Time,0,,T1,D4,A320neo,210,156,3264
1013,UK240,UK,Vistara,PNQ,COK,2025-11-05 18:45,2025-11-05 20:46,On Time,0,,T3,C14,ATR-72,186,134,5351
1014,AI280,AI,Air India,HYD,BLR,2025-11-05 09:20,2025-11-05 11:09,On Time,0,,T4,A2,B737 MAX,210,88,7355
1015,6E529,6E,IndiGo,MAA,DEL,2025-11-06 22:30,2025-11-07 00:41,On Time,0,,T1,A17,B737-800,210,185,3431
1016,SG749,SG,SpiceJet,PNQ,BOM,2025-11-06 17:00,2025-11-06 18:38,On Time,0,,T2,A9,B737-800,189,78,7839
1017,G8153,G8,Go First,BOM,CCU,2025-11-06 08:00,2025-11-06 09:28,On Time,0,,T1,D9,A321,189,43,10184
1018,6E728,6E,IndiGo,BOM,VNS,2025-11-06 17:15,2025-11-06 19:09,On Time,0,,T3,C5,B737-800,189,68,7906
1019,SG577,SG,SpiceJet,BOM,VNS,2025-11-06 20:40,2025-11-06 22:49,Cancelled,0,,T2,A11,A320,180,0,7585
1020,SG948,SG,SpiceJet,NAG,MAA,2025-11-06 10:45,2025-11-06 11:40,On Time,0,,T3,B7,A320neo,186,176,6518
1021,G8405,G8,Go First,PAT,DEL,2025-11-06 07:25,2025-11-06 09:48,On Time,0,,T3,B2,A320neo,189,173,10739
1022,G8437,G8,Go First,COK,JAI,2025-11-06 12:50,2025-11-06 14:29,On Time,0,,T4,B11,ATR-72,72,65,10413
1023,SG464,SG,SpiceJet,HYD,COK,2025-11-06 05:00,2025-11-06 07:01,Delayed,45,Crew,T3,D1,A320neo,189,125,7218
1024,6E204,6E,IndiGo,CCU,BOM,2025-11-06 12:40,2025-11-06 14:20,On Time,0,,T2,C4,B737-800,210,201,4544
1025,AI590,AI,Air India,PAT,AMD,2025-11-06 16:10,2025-11-06 17:30,On Time,0,,T2,C10,B737-800,189,82,4808
1026,IX440,IX,Air India Express,PNQ,JAI,2025-11-06 07:35,2025-11-06 10:23,On Time,0,,T1,C12,ATR-72,186,77,8382
1027,6E704,6E,IndiGo,BLR,DEL,2025-11-06 19:15,2025-11-06 22:06,On Time,0,,T2,C5,B737 MAX,72,49,6635
